"cod_item";"fator";"faceta";"polo";"descricao";"widget";"cat_1";"cat_2";"cat_3";"cat_4";"cat_5";"gabarito";"a";"b";"c";"d"
"instrucao";"instrucao";"instrucao";1;"<p>ATEN&Ccedil;&Atilde;O: ap&oacute;s clicar em &quot;Avan&ccedil;ar&quot;, o tempo come&ccedil;ar&aacute; a contar. Voc&ecirc; ter&aacute; 70 minutos para responder a prova.</p>";"instrucao";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"enem2009063136";NA;"24";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063136.jpg";"radio_image";"A";"B";"C";"D";"E";"A";3,40407;2,10238;0,10698;1
"enem2009063137";NA;"12";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063137.jpg";"radio_image";"A";"B";"C";"D";"E";"D";2,70316;1,28868;0,13945;1
"enem2009063138";NA;"24";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063138.jpg";"radio_image";"A";"B";"C";"D";"E";"E";2,4516;2,26159;0,07674;1
"enem2009063139";NA;"28";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063139.jpg";"radio_image";"A";"B";"C";"D";"E";"C";2,18226;2,25808;0,24918;1
"enem2009063140";NA;"18";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063140.jpg";"radio_image";"A";"B";"C";"D";"E";"C";2,86703;1,9126;0,19442;1
"enem2009063141";NA;"23";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063141.jpg";"radio_image";"A";"B";"C";"D";"E";"D";1,76793;0,79745;0,17243;1
"enem2009063142";NA;"26";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063142.jpg";"radio_image";"A";"B";"C";"D";"E";"E";1,38979;1,27326;0,18155;1
"enem2009063143";NA;"24";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063143.jpg";"radio_image";"A";"B";"C";"D";"E";"D";2,02435;2,59979;0,15523;1
"enem2009063144";NA;"1";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063144.jpg";"radio_image";"A";"B";"C";"D";"E";"D";3,55003;2,41723;0,23666;1
"enem2009063145";NA;"29";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063145.jpg";"radio_image";"A";"B";"C";"D";"E";"C";4,3337;2,47568;0,1023;1
"enem2009063146";NA;"26";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063146.jpg";"radio_image";"A";"B";"C";"D";"E";"A";1,51401;1,02663;0,15914;1
"enem2009063147";NA;"6";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063147.jpg";"radio_image";"A";"B";"C";"D";"E";"C";1,21921;0,13076;0,08474;1
"enem2009063148";NA;"24";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063148.jpg";"radio_image";"A";"B";"C";"D";"E";"D";0,2988;3,54917;0,08531;1
"enem2009063149";NA;"7";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063149.jpg";"radio_image";"A";"B";"C";"D";"E";"E";1,01912;-0,96661;0,0063;1
"enem2009063150";NA;"27";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063150.jpg";"radio_image";"A";"B";"C";"D";"E";"D";2,13467;1,88587;0,17527;1
"enem2009063151";NA;"22";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063151.jpg";"radio_image";"A";"B";"C";"D";"E";"D";1,69347;1,67973;0,17628;1
"enem2009063152";NA;"13";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063152.jpg";"radio_image";"A";"B";"C";"D";"E";"E";3,56477;2,32056;0,09997;1
"enem2009063153";NA;"8";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063153.jpg";"radio_image";"A";"B";"C";"D";"E";"A";2,06463;2,24084;0,2378;1
"enem2009063154";NA;"15";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063154.jpg";"radio_image";"A";"B";"C";"D";"E";"D";2,9312;1,44841;0,17344;1
"enem2009063155";NA;"19";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063155.jpg";"radio_image";"A";"B";"C";"D";"E";"D";2,9235;2,16387;0,21233;1
"enem2009063156";NA;"3";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063156.jpg";"radio_image";"A";"B";"C";"D";"E";"A";2,53416;2,27137;0,18142;1
"enem2009063157";NA;"14";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063157.jpg";"radio_image";"A";"B";"C";"D";"E";"B";2,69776;2,93505;0,15095;1
"enem2009063158";NA;"11";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063158.jpg";"radio_image";"A";"B";"C";"D";"E";"D";0,79007;3,53111;0,19229;1
"enem2009063159";NA;"19";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063159.jpg";"radio_image";"A";"B";"C";"D";"E";"E";3,09974;1,56133;0,10802;1
"enem2009063160";NA;"17";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063160.jpg";"radio_image";"A";"B";"C";"D";"E";"D";1,25005;2,00509;0,17589;1
"enem2009063161";NA;"28";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063161.jpg";"radio_image";"A";"B";"C";"D";"E";"D";1,98315;2,70571;0,21033;1
"enem2009063162";NA;"16";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063162.jpg";"radio_image";"A";"B";"C";"D";"E";"A";2,32988;2,23435;0,20364;1
"enem2009063163";NA;"12";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063163.jpg";"radio_image";"A";"B";"C";"D";"E";"B";2,62945;1,81383;0,20231;1
"enem2009063164";NA;"8";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063164.jpg";"radio_image";"A";"B";"C";"D";"E";"E";1,69212;1,72672;0,15858;1
"enem2009063165";NA;"2";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063165.jpg";"radio_image";"A";"B";"C";"D";"E";"A";1,98397;2,6823;0,19702;1
"enem2009063166";NA;"6";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063166.jpg";"radio_image";"A";"B";"C";"D";"E";"B";1,07373;2,92781;0,21556;1
"enem2009063167";NA;"25";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063167.jpg";"radio_image";"A";"B";"C";"D";"E";"E";4,03232;2,25593;0,08861;1
"enem2009063168";NA;"27";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063168.jpg";"radio_image";"A";"B";"C";"D";"E";"D";2,69948;2,61663;0,21668;1
"enem2009063169";NA;"18";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063169.jpg";"radio_image";"A";"B";"C";"D";"E";"D";1,96538;1,94141;0,18386;1
"enem2009063170";NA;"4";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063170.jpg";"radio_image";"A";"B";"C";"D";"E";"E";2,66774;2,75397;0,16322;1
"enem2009063172";NA;"25";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063172.jpg";"radio_image";"A";"B";"C";"D";"E";"C";1,05092;4,28177;0,21068;1
"enem2009063173";NA;"14";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063173.jpg";"radio_image";"A";"B";"C";"D";"E";"B";3,68279;2,86692;0,22261;1
"enem2009063174";NA;"19";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063174.jpg";"radio_image";"A";"B";"C";"D";"E";"B";3,12337;3,16783;0,27419;1
"enem2009063175";NA;"21";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063175.jpg";"radio_image";"A";"B";"C";"D";"E";"C";2,83725;3,26771;0,21224;1
"enem2009063176";NA;"4";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063176.jpg";"radio_image";"A";"B";"C";"D";"E";"B";1,83932;2,82176;0,21303;1
"enem2009063177";NA;"9";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063177.jpg";"radio_image";"A";"B";"C";"D";"E";"C";1,95278;2,71524;0,21173;1
"enem2009063178";NA;"5";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063178.jpg";"radio_image";"A";"B";"C";"D";"E";"E";1,48477;4,00415;0,13999;1
"enem2009063179";NA;"13";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2009063179.jpg";"radio_image";"A";"B";"C";"D";"E";"B";3,09626;2,8116;0,2272;1
"enem2010099136";NA;"1";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010099136.jpg";"radio_image";"A";"B";"C";"D";"E";"C";1,66379;-0,7156;0,05682;1
"enem2010099137";NA;"11";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010099137.jpg";"radio_image";"A";"B";"C";"D";"E";"E";1,96748;1,29609;0,10989;1
"enem2010099138";NA;"7";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010099138.jpg";"radio_image";"A";"B";"C";"D";"E";"E";1,69546;0,44683;0,11078;1
"enem2010099139";NA;"12";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010099139.jpg";"radio_image";"A";"B";"C";"D";"E";"B";3,66732;1,20902;0,16896;1
"enem2010099140";NA;"26";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010099140.jpg";"radio_image";"A";"B";"C";"D";"E";"B";1,44638;0,69535;0,12392;1
"enem2010099141";NA;"25";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010099141.jpg";"radio_image";"A";"B";"C";"D";"E";"D";2,38279;0,26521;0,117;1
"enem2010099142";NA;"15";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010099142.jpg";"radio_image";"A";"B";"C";"D";"E";"A";2,60718;0,07302;0,20237;1
"enem2010099143";NA;"25";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010099143.jpg";"radio_image";"A";"B";"C";"D";"E";"C";1,50538;2,16024;0,23774;1
"enem2010099144";NA;"15";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010099144.jpg";"radio_image";"A";"B";"C";"D";"E";"C";2,70301;1,35998;0,30383;1
"enem2010099145";NA;"24";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010099145.jpg";"radio_image";"A";"B";"C";"D";"E";"A";2,08521;0,39544;0,16581;1
"enem2010099146";NA;"10";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010099146.jpg";"radio_image";"A";"B";"C";"D";"E";"B";3,10858;0,63493;0,20898;1
"enem2010099147";NA;"30";1;"https://raw.githubusercontent.com/alexandrejaloto/CATEnem/master/data-raw/imagens/enem2010099147.jpg";"radio_image";"A";"B";"C";"D";"E";"D";0,3656;2,53865;0,00641;1
